          WD01/DL07 grain model for R_V=3.1, q_PAH=0.046
 2.000E-03 = a1 (um)
 2.000E-02 = a2 (um)
                              sigma_ext (um^2/H)
           --------- carbon -----------  -------- silicate ----------
lambda      a<a1     a1<a<a2    a2<a      a<a1     a1<a<a2    a2<a 
 (um)     (um^2/H)  (um^2/H)  (um^2/H)  (um^2/H)  (um^2/H)  (um^2/H) 
2.291E-01 3.945E-14 1.649E-14 2.924E-14 4.335E-17 5.083E-16 5.818E-14
2.312E-01 3.757E-14 1.563E-14 2.926E-14 4.298E-17 4.974E-16 5.766E-14
2.333E-01 3.569E-14 1.477E-14 2.923E-14 4.266E-17 4.873E-16 5.714E-14
2.355E-01 3.384E-14 1.393E-14 2.915E-14 4.242E-17 4.782E-16 5.662E-14
2.377E-01 3.208E-14 1.312E-14 2.903E-14 4.226E-17 4.701E-16 5.617E-14
2.399E-01 3.041E-14 1.236E-14 2.885E-14 4.215E-17 4.627E-16 5.584E-14
2.421E-01 2.887E-14 1.167E-14 2.864E-14 4.224E-17 4.572E-16 5.562E-14
2.443E-01 2.745E-14 1.104E-14 2.841E-14 4.228E-17 4.516E-16 5.541E-14
2.466E-01 2.615E-14 1.048E-14 2.818E-14 4.226E-17 4.459E-16 5.505E-14
2.489E-01 2.496E-14 9.980E-15 2.795E-14 4.218E-17 4.399E-16 5.463E-14
2.512E-01 2.388E-14 9.525E-15 2.773E-14 4.202E-17 4.335E-16 5.419E-14
2.535E-01 2.290E-14 9.113E-15 2.750E-14 4.180E-17 4.269E-16 5.375E-14
2.559E-01 2.201E-14 8.742E-15 2.729E-14 4.156E-17 4.204E-16 5.336E-14
2.582E-01 2.120E-14 8.406E-15 2.708E-14 4.131E-17 4.140E-16 5.306E-14
2.606E-01 2.046E-14 8.092E-15 2.687E-14 4.107E-17 4.078E-16 5.284E-14
2.630E-01 1.979E-14 7.809E-15 2.668E-14 4.083E-17 4.018E-16 5.264E-14
2.655E-01 1.918E-14 7.552E-15 2.650E-14 4.058E-17 3.960E-16 5.237E-14
2.679E-01 1.863E-14 7.317E-15 2.633E-14 4.033E-17 3.903E-16 5.202E-14
2.704E-01 1.812E-14 7.101E-15 2.617E-14 4.007E-17 3.848E-16 5.166E-14
2.729E-01 1.765E-14 6.901E-15 2.601E-14 3.981E-17 3.794E-16 5.129E-14
2.754E-01 1.723E-14 6.718E-15 2.587E-14 3.955E-17 3.741E-16 5.093E-14
2.780E-01 1.683E-14 6.549E-15 2.573E-14 3.928E-17 3.689E-16 5.064E-14
2.805E-01 1.647E-14 6.392E-15 2.560E-14 3.902E-17 3.638E-16 5.042E-14
2.831E-01 1.614E-14 6.243E-15 2.547E-14 3.875E-17 3.588E-16 5.023E-14
2.858E-01 1.582E-14 6.105E-15 2.535E-14 3.847E-17 3.540E-16 5.002E-14
2.884E-01 1.554E-14 5.977E-15 2.524E-14 3.821E-17 3.493E-16 4.974E-14
2.911E-01 1.527E-14 5.856E-15 2.513E-14 3.794E-17 3.447E-16 4.942E-14
2.938E-01 1.502E-14 5.741E-15 2.503E-14 3.768E-17 3.402E-16 4.909E-14
2.965E-01 1.479E-14 5.631E-15 2.493E-14 3.742E-17 3.359E-16 4.876E-14
2.992E-01 1.457E-14 5.527E-15 2.483E-14 3.715E-17 3.316E-16 4.846E-14
3.020E-01 1.437E-14 5.428E-15 2.474E-14 3.689E-17 3.274E-16 4.822E-14
3.048E-01 1.410E-14 5.315E-15 2.464E-14 3.662E-17 3.233E-16 4.803E-14
3.076E-01 1.380E-14 5.194E-15 2.454E-14 3.635E-17 3.193E-16 4.784E-14
3.105E-01 1.350E-14 5.076E-15 2.445E-14 3.608E-17 3.153E-16 4.762E-14
3.133E-01 1.320E-14 4.960E-15 2.435E-14 3.581E-17 3.114E-16 4.734E-14
3.162E-01 1.291E-14 4.847E-15 2.425E-14 3.554E-17 3.076E-16 4.702E-14
3.192E-01 1.262E-14 4.736E-15 2.416E-14 3.526E-17 3.038E-16 4.670E-14
3.221E-01 1.234E-14 4.628E-15 2.406E-14 3.499E-17 3.001E-16 4.640E-14
3.251E-01 1.206E-14 4.523E-15 2.397E-14 3.472E-17 2.965E-16 4.612E-14
3.281E-01 1.178E-14 4.420E-15 2.387E-14 3.445E-17 2.930E-16 4.589E-14
3.311E-01 1.151E-14 4.320E-15 2.378E-14 3.419E-17 2.895E-16 4.568E-14
3.342E-01 1.124E-14 4.222E-15 2.369E-14 3.392E-17 2.862E-16 4.547E-14
3.373E-01 1.098E-14 4.126E-15 2.360E-14 3.366E-17 2.829E-16 4.522E-14
3.404E-01 1.072E-14 4.033E-15 2.351E-14 3.340E-17 2.796E-16 4.492E-14
3.436E-01 1.046E-14 3.942E-15 2.342E-14 3.314E-17 2.764E-16 4.459E-14
3.467E-01 1.021E-14 3.854E-15 2.333E-14 3.288E-17 2.733E-16 4.426E-14
3.499E-01 9.960E-15 3.768E-15 2.324E-14 3.262E-17 2.702E-16 4.395E-14
3.532E-01 9.716E-15 3.683E-15 2.315E-14 3.236E-17 2.671E-16 4.366E-14
3.565E-01 9.475E-15 3.600E-15 2.306E-14 3.210E-17 2.641E-16 4.340E-14
3.597E-01 9.239E-15 3.520E-15 2.297E-14 3.185E-17 2.612E-16 4.315E-14
3.631E-01 9.006E-15 3.441E-15 2.289E-14 3.159E-17 2.582E-16 4.289E-14
3.664E-01 8.777E-15 3.363E-15 2.280E-14 3.133E-17 2.554E-16 4.261E-14
3.698E-01 8.552E-15 3.286E-15 2.272E-14 3.108E-17 2.526E-16 4.229E-14
3.733E-01 8.331E-15 3.210E-15 2.263E-14 3.083E-17 2.498E-16 4.194E-14
