               WD01/DL07 grain model for R_V=3.1, q_PAH=0.046
 2.000E-03 = a1 (um)
 2.000E-02 = a2 (um)
                              sigma_abs (um^2/H)
           --------- carbon -----------  -------- silicate ----------
lambda      a<a1     a1<a<a2    a2<a      a<a1     a1<a<a2    a2<a 
 (um)     (um^2/H)  (um^2/H)  (um^2/H)  (um^2/H)  (um^2/H)  (um^2/H) 
2.582E-01 2.120E-14 8.222E-15 1.277E-14 4.130E-17 3.211E-16 7.840E-15
2.606E-01 2.046E-14 7.920E-15 1.272E-14 4.106E-17 3.188E-16 7.806E-15
2.630E-01 1.979E-14 7.648E-15 1.267E-14 4.082E-17 3.165E-16 7.787E-15
2.655E-01 1.918E-14 7.402E-15 1.264E-14 4.057E-17 3.141E-16 7.731E-15
2.679E-01 1.863E-14 7.176E-15 1.261E-14 4.032E-17 3.118E-16 7.643E-15
2.704E-01 1.812E-14 6.968E-15 1.260E-14 4.006E-17 3.094E-16 7.552E-15
2.729E-01 1.765E-14 6.776E-15 1.258E-14 3.980E-17 3.071E-16 7.456E-15
2.754E-01 1.723E-14 6.600E-15 1.258E-14 3.954E-17 3.047E-16 7.357E-15
2.780E-01 1.683E-14 6.438E-15 1.258E-14 3.927E-17 3.023E-16 7.278E-15
2.805E-01 1.647E-14 6.287E-15 1.259E-14 3.901E-17 2.999E-16 7.226E-15
2.831E-01 1.614E-14 6.145E-15 1.260E-14 3.874E-17 2.975E-16 7.194E-15
2.858E-01 1.582E-14 6.011E-15 1.261E-14 3.847E-17 2.951E-16 7.155E-15
2.884E-01 1.554E-14 5.888E-15 1.262E-14 3.820E-17 2.928E-16 7.088E-15
2.911E-01 1.527E-14 5.772E-15 1.262E-14 3.794E-17 2.904E-16 7.005E-15
2.938E-01 1.502E-14 5.661E-15 1.262E-14 3.767E-17 2.881E-16 6.920E-15
2.965E-01 1.479E-14 5.555E-15 1.261E-14 3.741E-17 2.858E-16 6.829E-15
2.992E-01 1.457E-14 5.455E-15 1.260E-14 3.715E-17 2.835E-16 6.741E-15
3.020E-01 1.437E-14 5.359E-15 1.259E-14 3.688E-17 2.813E-16 6.673E-15
3.048E-01 1.410E-14 5.250E-15 1.258E-14 3.662E-17 2.790E-16 6.627E-15
3.076E-01 1.380E-14 5.132E-15 1.256E-14 3.635E-17 2.767E-16 6.591E-15
3.105E-01 1.350E-14 5.016E-15 1.255E-14 3.608E-17 2.744E-16 6.544E-15
3.133E-01 1.320E-14 4.903E-15 1.253E-14 3.580E-17 2.721E-16 6.477E-15
3.162E-01 1.291E-14 4.793E-15 1.251E-14 3.553E-17 2.698E-16 6.398E-15
3.192E-01 1.262E-14 4.685E-15 1.249E-14 3.526E-17 2.675E-16 6.315E-15
3.221E-01 1.234E-14 4.579E-15 1.247E-14 3.499E-17 2.652E-16 6.231E-15
3.251E-01 1.206E-14 4.476E-15 1.245E-14 3.471E-17 2.629E-16 6.155E-15
3.281E-01 1.178E-14 4.375E-15 1.242E-14 3.445E-17 2.607E-16 6.095E-15
3.311E-01 1.151E-14 4.277E-15 1.240E-14 3.418E-17 2.585E-16 6.050E-15
3.342E-01 1.124E-14 4.181E-15 1.237E-14 3.392E-17 2.563E-16 6.009E-15
3.373E-01 1.098E-14 4.087E-15 1.234E-14 3.366E-17 2.542E-16 5.959E-15
3.404E-01 1.072E-14 3.995E-15 1.231E-14 3.340E-17 2.520E-16 5.895E-15
